IDSensorAgent,MeasuredDepth,TrueDepth,Temperature,DangerTemp,CriticalTemp,ShutdownTemp,Ticks
2,40.70920000000014,35.25521036986461,31.057656287455476,122.0,137.0,151.0,54.0
4,20.709199999999946,17.93469787152771,30.53804092411968,120.0,139.0,150.0,54.0
3,30.709199999999946,26.594954120696077,30.797848605787575,114.0,137.0,153.0,54.0
1,50.70920000000014,43.915466619032976,31.317463969123374,103.0,139.0,151.0,54.0
1,50.722333333333474,43.92684042224022,31.317805183211966,103.0,139.0,151.0,55.0
4,20.722333333333278,17.94607167473495,30.53838213820827,120.0,139.0,150.0,55.0
2,40.722333333333474,35.266584173071855,31.05799750154407,122.0,137.0,151.0,55.0
3,30.722333333333278,26.60632792390332,30.798189819876168,114.0,137.0,153.0,55.0
4,20.73546666666661,17.95744547794219,30.53872335229686,120.0,139.0,150.0,56.0
3,30.73546666666661,26.617701727110557,30.798531033964757,114.0,137.0,153.0,56.0
1,50.73546666666681,43.93821422544747,31.318146397300556,103.0,139.0,151.0,56.0
2,40.73546666666681,35.2779579762791,31.058338715632658,122.0,137.0,151.0,56.0
2,40.748600000000145,35.28933177948634,31.05867992972125,122.0,137.0,151.0,57.0
3,30.748599999999943,26.6290755303178,30.798872248053346,114.0,137.0,153.0,57.0
4,20.748599999999943,17.96881928114943,30.539064566385452,120.0,139.0,150.0,57.0
1,50.748600000000145,43.94958802865471,31.318487611389145,103.0,139.0,151.0,57.0
3,30.761733333333275,26.640449333525037,30.79921346214194,114.0,137.0,153.0,58.0
4,20.761733333333275,17.98019308435667,30.53940578047404,120.0,139.0,150.0,58.0
1,50.76173333333348,43.96096183186195,31.318828825477738,103.0,139.0,151.0,58.0
2,40.76173333333348,35.30070558269358,31.05902114380984,122.0,137.0,151.0,58.0
1,50.77486666666682,43.97233563506919,31.319170039566327,103.0,139.0,151.0,59.0
3,30.774866666666608,26.65182313673228,30.799554676230528,114.0,137.0,153.0,59.0
4,20.774866666666608,17.99156688756391,30.53974699456263,120.0,139.0,150.0,59.0
2,40.77486666666682,35.31207938590083,31.05936235789843,122.0,137.0,151.0,59.0
1,50.78800000000015,43.983709438276435,31.319511253654916,103.0,139.0,151.0,60.0
3,30.78799999999994,26.663196939939517,30.799895890319117,114.0,137.0,153.0,60.0
